,DataSet,Vectorizer,Stopword removing,Punctuation removing,Morphing,Classifier,Accuracy,Precision,Recall,Fscore
98,Amazon,Tfidf,on,on,turned off,XGBoost,0.7090909090909091,0.811965811965812,0.5621301775147929,0.6643356643356644
99,Amazon,Tfidf,off,on,lemmitizer,XGBoost,0.7454545454545455,0.8455284552845529,0.6153846153846154,0.7123287671232876
100,Amazon,Tfidf,off,on,stemmer,XGBoost,0.7606060606060606,0.8629032258064516,0.6331360946745562,0.7303754266211605
101,Amazon,Tfidf,off,on,turned off,XGBoost,0.7484848484848485,0.8524590163934426,0.6153846153846154,0.7147766323024055
102,Amazon,Tfidf,on,off,lemmitizer,XGBoost,0.696969696969697,0.7899159663865546,0.5562130177514792,0.6527777777777777
103,Amazon,Tfidf,on,off,stemmer,XGBoost,0.706060606060606,0.8157894736842105,0.5502958579881657,0.657243816254417
104,Amazon,Tfidf,on,off,turned off,XGBoost,0.7242424242424242,0.8362068965517241,0.5739644970414202,0.6807017543859648
105,Amazon,Tfidf,off,off,lemmitizer,XGBoost,0.7545454545454545,0.8492063492063492,0.6331360946745562,0.7254237288135593
106,Amazon,Tfidf,off,off,stemmer,XGBoost,0.7636363636363637,0.8582677165354331,0.6449704142011834,0.7364864864864865
107,Amazon,Tfidf,off,off,turned off,XGBoost,0.7454545454545455,0.8695652173913043,0.591715976331361,0.7042253521126761
108,Amazon,Count Vectorizer,on,on,lemmitizer,XGBoost,0.7,0.7966101694915254,0.5562130177514792,0.6550522648083624
109,Amazon,Count Vectorizer,on,on,stemmer,XGBoost,0.706060606060606,0.8,0.5680473372781065,0.6643598615916956
110,Amazon,Count Vectorizer,on,on,turned off,XGBoost,0.693939393939394,0.8090909090909091,0.5266272189349113,0.6379928315412187
111,Amazon,Count Vectorizer,off,on,lemmitizer,XGBoost,0.696969696969697,0.7948717948717948,0.5502958579881657,0.6503496503496504
112,Amazon,Count Vectorizer,off,on,stemmer,XGBoost,0.7212121212121212,0.808,0.5976331360946746,0.6870748299319729
113,Amazon,Count Vectorizer,off,on,turned off,XGBoost,0.7242424242424242,0.825,0.5857988165680473,0.685121107266436
114,Amazon,Count Vectorizer,on,off,lemmitizer,XGBoost,0.696969696969697,0.7948717948717948,0.5502958579881657,0.6503496503496504
115,Amazon,Count Vectorizer,on,off,stemmer,XGBoost,0.7090909090909091,0.7967479674796748,0.5798816568047337,0.6712328767123288
116,Amazon,Count Vectorizer,on,off,turned off,XGBoost,0.7181818181818181,0.8166666666666667,0.5798816568047337,0.6782006920415224
117,Amazon,Count Vectorizer,off,off,lemmitizer,XGBoost,0.7212121212121212,0.8290598290598291,0.5739644970414202,0.6783216783216783
118,Amazon,Count Vectorizer,off,off,stemmer,XGBoost,0.7242424242424242,0.8095238095238095,0.6035502958579881,0.6915254237288135
119,Amazon,Count Vectorizer,off,off,turned off,XGBoost,0.7242424242424242,0.8421052631578947,0.5680473372781065,0.6784452296819788
120,Amazon,Tfidf,on,on,lemmitizer,logreg_classifier,0.7757575757575758,0.8231292517006803,0.7159763313609467,0.7658227848101266
121,Amazon,Tfidf,on,on,stemmer,logreg_classifier,0.796969696969697,0.8355263157894737,0.7514792899408284,0.7912772585669782
122,Amazon,Tfidf,on,on,turned off,logreg_classifier,0.7757575757575758,0.8275862068965517,0.7100591715976331,0.7643312101910827
123,Amazon,Tfidf,off,on,lemmitizer,logreg_classifier,0.806060606060606,0.8431372549019608,0.7633136094674556,0.8012422360248448
124,Amazon,Tfidf,off,on,stemmer,logreg_classifier,0.8212121212121212,0.8571428571428571,0.7810650887573964,0.8173374613003095
125,Amazon,Tfidf,off,on,turned off,logreg_classifier,0.8181818181818182,0.8609271523178808,0.7692307692307693,0.8125000000000001
126,Amazon,Tfidf,on,off,lemmitizer,logreg_classifier,0.7545454545454545,0.8188405797101449,0.6686390532544378,0.7361563517915309
127,Amazon,Tfidf,on,off,stemmer,logreg_classifier,0.7666666666666667,0.8194444444444444,0.6982248520710059,0.7539936102236422
128,Amazon,Tfidf,on,off,turned off,logreg_classifier,0.7727272727272727,0.8309859154929577,0.6982248520710059,0.7588424437299036
129,Amazon,Tfidf,off,off,lemmitizer,logreg_classifier,0.8,0.8456375838926175,0.7455621301775148,0.7924528301886793
130,Amazon,Tfidf,off,off,stemmer,logreg_classifier,0.8212121212121212,0.8666666666666667,0.7692307692307693,0.8150470219435738
131,Amazon,Tfidf,off,off,turned off,logreg_classifier,0.8090909090909091,0.8581081081081081,0.7514792899408284,0.801261829652997
132,Amazon,Count Vectorizer,on,on,lemmitizer,logreg_classifier,0.7787878787878788,0.7926829268292683,0.7692307692307693,0.7807807807807808
133,Amazon,Count Vectorizer,on,on,stemmer,logreg_classifier,0.7848484848484848,0.7951807228915663,0.7810650887573964,0.7880597014925372
134,Amazon,Count Vectorizer,on,on,turned off,logreg_classifier,0.7727272727272727,0.8012820512820513,0.7396449704142012,0.7692307692307693
135,Amazon,Count Vectorizer,off,on,lemmitizer,logreg_classifier,0.796969696969697,0.8227848101265823,0.7692307692307693,0.7951070336391437
136,Amazon,Count Vectorizer,off,on,stemmer,logreg_classifier,0.803030303030303,0.8132530120481928,0.7988165680473372,0.8059701492537313
137,Amazon,Count Vectorizer,off,on,turned off,logreg_classifier,0.803030303030303,0.8291139240506329,0.7751479289940828,0.8012232415902141
138,Amazon,Count Vectorizer,on,off,lemmitizer,logreg_classifier,0.7727272727272727,0.8133333333333334,0.7218934911242604,0.7648902821316614
139,Amazon,Count Vectorizer,on,off,stemmer,logreg_classifier,0.7909090909090909,0.8205128205128205,0.757396449704142,0.7876923076923076
140,Amazon,Count Vectorizer,on,off,turned off,logreg_classifier,0.7787878787878788,0.8116883116883117,0.7396449704142012,0.7739938080495355
141,Amazon,Count Vectorizer,off,off,lemmitizer,logreg_classifier,0.806060606060606,0.8343949044585988,0.7751479289940828,0.8036809815950919
142,Amazon,Count Vectorizer,off,off,stemmer,logreg_classifier,0.8272727272727273,0.8414634146341463,0.8165680473372781,0.8288288288288288
143,Amazon,Count Vectorizer,off,off,turned off,logreg_classifier,0.8151515151515152,0.8461538461538461,0.7810650887573964,0.8123076923076922
144,IMDb,Tfidf,on,on,lemmitizer,NaiveBayes,0.7813765182186235,0.7925925925925926,0.8045112781954887,0.7985074626865671
145,IMDb,Tfidf,on,on,stemmer,NaiveBayes,0.8016194331983806,0.795774647887324,0.849624060150376,0.8218181818181818
146,IMDb,Tfidf,on,on,turned off,NaiveBayes,0.7975708502024291,0.8074074074074075,0.8195488721804511,0.8134328358208956
147,IMDb,Tfidf,off,on,lemmitizer,NaiveBayes,0.7732793522267206,0.7769784172661871,0.8120300751879699,0.7941176470588235
148,IMDb,Tfidf,off,on,stemmer,NaiveBayes,0.7975708502024291,0.8029197080291971,0.8270676691729323,0.8148148148148149
149,IMDb,Tfidf,off,on,turned off,NaiveBayes,0.7611336032388664,0.7720588235294118,0.7894736842105263,0.7806691449814126
150,IMDb,Tfidf,on,off,lemmitizer,NaiveBayes,0.7692307692307693,0.7602739726027398,0.8345864661654135,0.7956989247311828
151,IMDb,Tfidf,on,off,stemmer,NaiveBayes,0.7975708502024291,0.7943262411347518,0.8421052631578947,0.8175182481751824
152,IMDb,Tfidf,on,off,turned off,NaiveBayes,0.7894736842105263,0.7832167832167832,0.8421052631578947,0.8115942028985507
153,IMDb,Tfidf,off,off,lemmitizer,NaiveBayes,0.7773279352226721,0.7785714285714286,0.8195488721804511,0.7985347985347986
154,IMDb,Tfidf,off,off,stemmer,NaiveBayes,0.805668016194332,0.8014184397163121,0.849624060150376,0.8248175182481753
155,IMDb,Tfidf,off,off,turned off,NaiveBayes,0.7813765182186235,0.7883211678832117,0.8120300751879699,0.7999999999999999
156,IMDb,Count Vectorizer,on,on,lemmitizer,NaiveBayes,0.7246963562753036,0.7559055118110236,0.7218045112781954,0.7384615384615384
157,IMDb,Count Vectorizer,on,on,stemmer,NaiveBayes,0.7692307692307693,0.8114754098360656,0.7443609022556391,0.7764705882352941
158,IMDb,Count Vectorizer,on,on,turned off,NaiveBayes,0.7530364372469636,0.7769230769230769,0.7593984962406015,0.7680608365019013
159,IMDb,Count Vectorizer,off,on,lemmitizer,NaiveBayes,0.7530364372469636,0.8050847457627118,0.7142857142857143,0.7569721115537849
160,IMDb,Count Vectorizer,off,on,stemmer,NaiveBayes,0.7530364372469636,0.8050847457627118,0.7142857142857143,0.7569721115537849
161,IMDb,Count Vectorizer,off,on,turned off,NaiveBayes,0.7611336032388664,0.8135593220338984,0.7218045112781954,0.7649402390438247
162,IMDb,Count Vectorizer,on,off,lemmitizer,NaiveBayes,0.757085020242915,0.7786259541984732,0.7669172932330827,0.7727272727272726
163,IMDb,Count Vectorizer,on,off,stemmer,NaiveBayes,0.7651821862348178,0.8,0.7518796992481203,0.7751937984496123
164,IMDb,Count Vectorizer,on,off,turned off,NaiveBayes,0.7773279352226721,0.7954545454545454,0.7894736842105263,0.7924528301886792
165,IMDb,Count Vectorizer,off,off,lemmitizer,NaiveBayes,0.7732793522267206,0.8130081300813008,0.7518796992481203,0.7812499999999999
166,IMDb,Count Vectorizer,off,off,stemmer,NaiveBayes,0.757085020242915,0.8067226890756303,0.7218045112781954,0.7619047619047619
167,IMDb,Count Vectorizer,off,off,turned off,NaiveBayes,0.7935222672064778,0.8306451612903226,0.7744360902255639,0.8015564202334631
168,IMDb,Tfidf,on,on,lemmitizer,Support Vector Machine,0.7854251012145749,0.7816901408450704,0.8345864661654135,0.8072727272727273
169,IMDb,Tfidf,on,on,stemmer,Support Vector Machine,0.7894736842105263,0.7832167832167832,0.8421052631578947,0.8115942028985507
170,IMDb,Tfidf,on,on,turned off,Support Vector Machine,0.7813765182186235,0.7801418439716312,0.8270676691729323,0.8029197080291971
171,IMDb,Tfidf,off,on,lemmitizer,Support Vector Machine,0.7692307692307693,0.7676056338028169,0.8195488721804511,0.7927272727272727
172,IMDb,Tfidf,off,on,stemmer,Support Vector Machine,0.7975708502024291,0.7985611510791367,0.8345864661654135,0.8161764705882353
173,IMDb,Tfidf,off,on,turned off,Support Vector Machine,0.7732793522267206,0.7730496453900709,0.8195488721804511,0.7956204379562043
174,IMDb,Tfidf,on,off,lemmitizer,Support Vector Machine,0.7692307692307693,0.7602739726027398,0.8345864661654135,0.7956989247311828
175,IMDb,Tfidf,on,off,stemmer,Support Vector Machine,0.8016194331983806,0.7876712328767124,0.8646616541353384,0.8243727598566307
176,IMDb,Tfidf,on,off,turned off,Support Vector Machine,0.7894736842105263,0.7793103448275862,0.849624060150376,0.8129496402877697
177,IMDb,Tfidf,off,off,lemmitizer,Support Vector Machine,0.7692307692307693,0.7714285714285715,0.8120300751879699,0.7912087912087911
178,IMDb,Tfidf,off,off,stemmer,Support Vector Machine,0.7935222672064778,0.7847222222222222,0.849624060150376,0.8158844765342961
179,IMDb,Tfidf,off,off,turned off,Support Vector Machine,0.7732793522267206,0.7655172413793103,0.8345864661654135,0.7985611510791366
180,IMDb,Count Vectorizer,on,on,lemmitizer,Support Vector Machine,0.7732793522267206,0.7984496124031008,0.7744360902255639,0.7862595419847329
181,IMDb,Count Vectorizer,on,on,stemmer,Support Vector Machine,0.7813765182186235,0.7969924812030075,0.7969924812030075,0.7969924812030075
182,IMDb,Count Vectorizer,on,on,turned off,Support Vector Machine,0.7651821862348178,0.8,0.7518796992481203,0.7751937984496123
183,IMDb,Count Vectorizer,off,on,lemmitizer,Support Vector Machine,0.7327935222672065,0.7723577235772358,0.7142857142857143,0.7421875
184,IMDb,Count Vectorizer,off,on,stemmer,Support Vector Machine,0.7530364372469636,0.7950819672131147,0.7293233082706767,0.7607843137254902
185,IMDb,Count Vectorizer,off,on,turned off,Support Vector Machine,0.7206477732793523,0.7580645161290323,0.706766917293233,0.7315175097276264
186,IMDb,Count Vectorizer,on,off,lemmitizer,Support Vector Machine,0.7408906882591093,0.7716535433070866,0.7368421052631579,0.7538461538461538
187,IMDb,Count Vectorizer,on,off,stemmer,Support Vector Machine,0.7530364372469636,0.7769230769230769,0.7593984962406015,0.7680608365019013
188,IMDb,Count Vectorizer,on,off,turned off,Support Vector Machine,0.7408906882591093,0.776,0.7293233082706767,0.751937984496124
189,IMDb,Count Vectorizer,off,off,lemmitizer,Support Vector Machine,0.728744939271255,0.7661290322580645,0.7142857142857143,0.7392996108949416
190,IMDb,Count Vectorizer,off,off,stemmer,Support Vector Machine,0.728744939271255,0.7661290322580645,0.7142857142857143,0.7392996108949416
191,IMDb,Count Vectorizer,off,off,turned off,Support Vector Machine,0.6963562753036437,0.7301587301587301,0.6917293233082706,0.7104247104247103
192,IMDb,Tfidf,on,on,lemmitizer,Decision Tree,0.6477732793522267,0.6402439024390244,0.7894736842105263,0.7070707070707071
193,IMDb,Tfidf,on,on,stemmer,Decision Tree,0.6923076923076923,0.7522123893805309,0.6390977443609023,0.6910569105691057
194,IMDb,Tfidf,on,on,turned off,Decision Tree,0.6518218623481782,0.6358381502890174,0.8270676691729323,0.7189542483660131
195,IMDb,Tfidf,off,on,lemmitizer,Decision Tree,0.6194331983805668,0.6535433070866141,0.6240601503759399,0.6384615384615384
196,IMDb,Tfidf,off,on,stemmer,Decision Tree,0.6194331983805668,0.6535433070866141,0.6240601503759399,0.6384615384615384
197,IMDb,Tfidf,off,on,turned off,Decision Tree,0.6153846153846154,0.6610169491525424,0.5864661654135338,0.6215139442231076
198,IMDb,Tfidf,on,off,lemmitizer,Decision Tree,0.6639676113360324,0.6582278481012658,0.7819548872180451,0.7147766323024055
199,IMDb,Tfidf,on,off,stemmer,Decision Tree,0.7044534412955465,0.7586206896551724,0.6616541353383458,0.7068273092369477
200,IMDb,Tfidf,on,off,turned off,Decision Tree,0.708502024291498,0.7520661157024794,0.6842105263157895,0.7165354330708662
201,IMDb,Tfidf,off,off,lemmitizer,Decision Tree,0.6194331983805668,0.6423357664233577,0.6616541353383458,0.6518518518518518
202,IMDb,Tfidf,off,off,stemmer,Decision Tree,0.6518218623481782,0.6666666666666666,0.706766917293233,0.6861313868613139
203,IMDb,Tfidf,off,off,turned off,Decision Tree,0.6396761133603239,0.6692307692307692,0.6541353383458647,0.6615969581749049
204,IMDb,Count Vectorizer,on,on,lemmitizer,Decision Tree,0.6923076923076923,0.6912751677852349,0.7744360902255639,0.7304964539007093
205,IMDb,Count Vectorizer,on,on,stemmer,Decision Tree,0.7004048582995951,0.7006802721088435,0.7744360902255639,0.7357142857142858
206,IMDb,Count Vectorizer,on,on,turned off,Decision Tree,0.6963562753036437,0.8085106382978723,0.5714285714285714,0.6696035242290749
